class,start_sample,end_sample
silence,0,3042
silence,3042,135342
exhale,135342,199854
exhale,199854,246958
silence,246958,292954
exhale,292954,370778
exhale,370778,397402
exhale,397402,486490
exhale,486490,559194
inhale,559194,590938
inhale,590938,631898
silence,631898,717914
inhale,717914,799834
inhale,799834,861274
silence,861274,912915
inhale,912915,990739
inhale,990739,1041939
silence,1041939,1093580
exhale,1093580,1130444
silence,1130444,1177366
silence,1177366,1309666
exhale,1309666,1392610
