class,start_sample,end_sample
exhale,0,64512
inhale,64512,107520
silence,107520,128820
exhale,128820,182068
inhale,182068,245556
inhale,245556,302900
silence,302900,435200
exhale,435200,479232
inhale,479232,546816
silence,546816,648192
silence,648192,780492
inhale,780492,876748
silence,876748,892928
inhale,892928,925696
inhale,925696,963584
inhale,963584,997376
exhale,997376,1047552
silence,1047552,1179852
inhale,1179852,1256652
exhale,1256652,1315020
inhale,1315020,1383628
