class,start_sample,end_sample
silence,0,22532
inhale,22532,81924
exhale,81924,140292
exhale,140292,189444
inhale,189444,276484
silence,276484,279352
exhale,279352,348984
inhale,348984,414520
silence,414520,517944
exhale,517944,593720
silence,593720,647213
silence,647213,764973
silence,764973,897273
silence,897273,940077
silence,940077,1040429
silence,1040429,1114157
inhale,1114157,1182765
silence,1182765,1205089
silence,1205089,1205909
exhale,1205909,1224137
inhale,1224137,1299913
silence,1299913,1316093
inhale,1316093,1377533
