class,start_sample,end_sample
exhale,0,92160
exhale,92160,187392
inhale,187392,223232
silence,223232,234292
silence,234292,366592
inhale,366592,423936
exhale,423936,462848
silence,462848,595148
exhale,595148,639180
exhale,639180,684236
exhale,684236,737484
silence,737484,748136
silence,748136,821456
silence,821456,928574
exhale,928574,979774
silence,979774,1049406
exhale,1049406,1140542
exhale,1140542,1175358
inhale,1175358,1209150
inhale,1209150,1300286
silence,1300286,1306226
silence,1306226,1438526
